ID,Feature,Scenario,Priority,Status,Tester,Date,Notes
S2-22,Export,Export resume as PDF with template,P0,AUTO_PASS,automated,2026-04-11,test_document_generator.py::TestExportDocument::test_export_pdf_has_pdf_magic_bytes
S2-23,Export,Export as DOCX,P1,AUTO_PASS,automated,2026-04-11,test_document_generator.py::TestExportDocument::test_export_docx_is_valid
S2-24,Export,Invalid format rejected,P1,AUTO_PASS,automated,2026-04-11,test_document_generator.py::TestExportDocument::test_export_unsupported_format_raises
S2-25,Export Content,Export raw markdown content,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/documents/export-content endpoint
S3-01,Daily Feed,Get curated daily job feed,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/feed/daily endpoint (Sprint 3 feature)
S3-02,Refresh Feed,Force regenerate feed,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/feed/refresh
S3-03,Refresh Feed,Rate limit 3/minute,P1,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/feed.py:59)
S3-04,Pending Nudges,Get active nudges,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/nudges/pending endpoint (Sprint 3 feature)
S3-05,Respond,User responds heard_back,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for nudge respond endpoint
S3-06,Respond,User responds no_response,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for nudge no_response
S3-07,Respond,Nudge not found,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for nudge 404
S3-08,Draft Email,AI-draft follow-up email,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/nudges/{id}/draft-email
S3-09,Pause,Pause a nudge schedule,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for PUT /api/nudges/{id}/pause
S3-10,Settings,Update nudge settings,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for PUT /api/nudges/settings
S3-11,Settings,Interval range 1-60 days,P1,VERIFIED,code-review,2026-04-11,routers/nudges.py:41 has le=60; Pydantic enforces
S3-12,Settings,Max nudges range 1-10,P1,VERIFIED,code-review,2026-04-11,routers/nudges.py:42 has le=10; Pydantic enforces
S3-13,Get Settings,Get auto-apply settings,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/auto-apply/settings (Sprint 3 feature)
S3-14,Get Settings,Default settings when none saved,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for auto-apply defaults
S3-15,Update Settings,Enable auto-apply with custom threshold,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for PUT /api/auto-apply/settings
S3-16,Update Settings,Threshold range 0.0-1.0,P1,VERIFIED,code-review,2026-04-11,routers/auto_apply.py:28 has le=1.0; Pydantic enforces
S3-17,Update Settings,Max daily range 1-50,P1,VERIFIED,code-review,2026-04-11,routers/auto_apply.py:30 has le=50; Pydantic enforces
S3-18,Queue,View queued applications,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/auto-apply/queue
S3-19,Approve,Approve queued application,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/auto-apply/queue/{id}/approve
S3-20,Approve,Item not found,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for auto-apply queue item 404
S3-21,Reject,Reject queued application,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/auto-apply/queue/{id}/reject
S3-22,Briefing,Morning briefing,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/auto-apply/briefing
S3-23,Full Prep,Generate interview prep package,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/interview/{id}/prep (Sprint 3 feature)
S3-24,Company Brief,Get company research brief,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/interview/{id}/company-brief
S3-25,Questions,Generate practice questions,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/interview/{id}/questions
S3-26,Debrief,Post-interview analysis,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/interview/{id}/debrief
S3-27,Debrief,Max 30 questions_asked,P1,VERIFIED,code-review,2026-04-11,routers/interview.py:41 has max_length=30; Pydantic enforces
S3-28,Gmail Auth,Get OAuth redirect URL,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/email/auth/gmail (requires OAuth config)
S3-29,Gmail Callback,Handle OAuth callback,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for Gmail OAuth callback
S3-30,Gmail Callback,Missing authorization code,P1,VERIFIED,code-review,2026-04-11,routers/email_oauth.py:98 checks for missing code and returns 400
S3-31,Auth Status,Check email connection status,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/email/auth/status
S3-32,Disconnect,Disconnect Gmail,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for DELETE /api/email/auth/gmail
S3-33,Compose,Compose application email,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/email/compose
S3-34,Inbox,Check inbox for replies,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/email/inbox
S3-35,Chat,Send free-form message,P0,AUTO_PASS,automated,2026-04-11,test_routers_golden.py::TestChatRouter::test_chat_message - checks 200 + response
S3-36,Chat,Message max length 5000,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestInputValidation::test_chat_message_too_long - checks 422
S3-37,Chat,Rate limit 15/minute,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/chat.py:34)
S3-38,Chat Reset,Clear conversation history,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for DELETE /api/chat/reset
S3-39,Resume Parse,Parse PDF resume via Claude,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestParseResume::test_parse_resume_text_success + test_resume_parser.py coverage
S3-40,Resume Parse,File too large (>5 MB),P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestParseResume::test_parse_resume_too_large
S3-41,Resume Parse,Unsupported file type,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestParseResume::test_parse_resume_unsupported_type
S4-01,Outcome Learning,Get variant correlation data,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/insights/outcome-learning (Sprint 4 feature)
S4-02,Rejection Patterns,Analyse rejection patterns,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/insights/rejection-patterns
S4-03,Restrategize,Get actionable improvement advice,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/insights/restrategize
S4-04,Weekly Report,Generate weekly advisor report,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for /api/insights/weekly-report
S4-05,Weekly Report,Rate limit 3/minute,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/insights.py:95)
S4-06,Track App,Log new application,P0,AUTO_PASS,automated,2026-04-11,test_routers_golden.py::TestApplicationsRouter::test_track_application + test_agent_dispatch.py::test_track_application
S4-07,Update App,Update application status,P0,AUTO_PASS,automated,2026-04-11,test_analytics.py::test_update_status + test_agent_dispatch.py::test_update_application
S4-08,Update App,Valid ApplicationStatus values only,P1,VERIFIED,code-review,2026-04-11,schemas.py:82 uses ApplicationStatus enum; Pydantic enforces
S4-09,Analytics,Get application metrics and insights,P0,AUTO_PASS,automated,2026-04-11,test_routers_golden.py::TestApplicationsRouter::test_get_analytics + test_analytics.py::test_metrics_with_applications
S4-10,Feedback,Get employer feedback analysis,P1,AUTO_PASS,automated,2026-04-11,test_agent_dispatch.py::TestDispatchTool::test_get_feedback_analysis
S4-11,Market Insights,Get market report for region/industry,P0,AUTO_PASS,automated,2026-04-11,test_job_search.py::TestMarketIntelligenceService::test_get_insights_returns_model
S4-12,Application Tips,Get culturally-aware tips,P1,AUTO_PASS,automated,2026-04-11,test_job_search.py::TestMarketIntelligenceService::test_get_application_tips
S4-13,Export Data,Export all user data as JSON,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/account/export (Sprint 4 feature)
S4-14,Export Data,No user data found,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for account export with no data
S4-15,Delete Account,Cascading delete of all user data,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for DELETE /api/account/
S4-16,Delete Account,No data to delete,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for account delete with no data
S4-17,Delete Account,Rate limit 1/minute,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/account.py:107)
S4-18,Summary,Get dashboard summary metrics,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestDashboardEndpoints::test_dashboard_summary_with_profile + test_routers_golden.py::TestDashboardRouter::test_dashboard_summary
S4-19,Applications,Get dashboard applications list,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestDashboardEndpoints::test_dashboard_applications_empty
S4-20,Activity,Get activity timeline,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestDashboardEndpoints::test_dashboard_activity_empty + test_routers_golden.py::TestDashboardRouter::test_dashboard_activity
S4-21,Skills,Get skills gap analysis,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestDashboardEndpoints::test_dashboard_skills_empty_cache
S4-22,Board,Get full Kanban board,P0,AUTO_PASS,automated,2026-04-11,test_routers_golden.py::TestKanbanRouter::test_kanban_board - checks 200 + 7 columns + total_cards
S4-23,Move Card,Move card to new column,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for PUT /api/kanban/cards/{id}/move
S4-24,Move Card,Card not found,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for kanban card 404
S4-25,Card Detail,Get single Kanban card,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/kanban/cards/{id}
S4-26,Negotiate,Salary negotiation with leverage points,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/salary/negotiate (Sprint 4 feature)
S4-27,Negotiate,Current offer must be >= 0,P1,VERIFIED,code-review,2026-04-11,routers/salary.py:34 has ge=0; Pydantic enforces
S5-01,Add Offer,Create new job offer,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for POST /api/offers/ (Sprint 5 feature)
S5-02,Add Offer,Base salary >= 0,P1,VERIFIED,code-review,2026-04-11,routers/offers.py:23 has ge=0; Pydantic enforces
S5-03,Add Offer,Deadline date format,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for deadline date parsing
S5-04,Add Offer,Invalid deadline ignored,P2,VERIFIED,code-review,2026-04-11,routers/offers.py:94 catches ValueError and sets deadline to None
S5-05,List Offers,List all user offers,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/offers/
S5-06,Compare Offers,Side-by-side comparison,P0,MANUAL_REQUIRED,manual,2026-04-11,No test for GET /api/offers/compare
S5-07,Compare Offers,No offers to compare,P1,MANUAL_REQUIRED,manual,2026-04-11,No test for empty offers comparison
S5-08,Waitlist,Join employer waitlist,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestEmployerWaitlist::test_join_waitlist_success + test_routers_golden.py::TestEmployerRouter::test_employer_waitlist
S5-09,Waitlist,Duplicate email returns existing,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestEmployerWaitlist::test_join_waitlist_duplicate
S5-10,Waitlist,Rate limit 5/hour,P2,VERIFIED,code-review,2026-04-11,Rate limiter decorator present on endpoint (routers/employer.py:19)
CC-01,Security Headers,All responses include security headers,P0,AUTO_PASS,automated,2026-04-11,test_api.py::TestSecurityHeaders::test_security_headers_present - checks X-Frame-Options/X-Content-Type-Options/Referrer-Policy/CSP
CC-02,HSTS,HSTS header on HTTPS,P1,MANUAL_REQUIRED,manual,2026-04-11,Requires HTTPS or X-Forwarded-Proto=https with TRUST_PROXY=true
CC-03,Request ID,X-Request-ID propagated,P1,VERIFIED,code-review,2026-04-11,api.py:142-145 propagates or generates X-Request-ID
CC-04,CORS,Only allowed origins accepted,P1,AUTO_PASS,automated,2026-04-11,test_api.py::TestCORS::test_cors_no_credentials
CC-05,Global Error,Unhandled exceptions return 500,P0,VERIFIED,code-review,2026-04-11,api.py:112-114 has global exception handler returning 500
CC-06,Rate Limit,429 format consistent,P1,VERIFIED,code-review,2026-04-11,api.py:107-108 has rate limit handler returning 429 with detail message
CC-07,Prod Auth,AUTH_ENABLED must be true in production,P0,AUTO_PASS,automated,2026-04-11,test_settings_guard.py::test_production_without_auth_raises - checks SystemExit
CC-08,Docs Hidden,Swagger/ReDoc hidden when AUTH_ENABLED=true,P1,VERIFIED,code-review,2026-04-11,api.py:81-82 sets docs_url=None when AUTH_ENABLED
CC-09,PII Stripping,Protected attributes stripped before LLM,P0,AUTO_PASS,automated,2026-04-11,test_agent_privacy.py::test_safe_profile_dict_strips_pii_and_protected + test_privacy.py::test_strip_protected_attributes
CC-10,Sanitisation,Only safe fields sent to LLM,P0,AUTO_PASS,automated,2026-04-11,test_agent_privacy.py::test_system_prompt_excludes_pii + test_privacy.py::test_sanitise_for_llm_removes_pii_fields
CC-11,Encryption,AES-256-GCM encryption at rest,P1,AUTO_PASS,automated,2026-04-11,test_privacy.py::test_encrypt_decrypt_roundtrip + test_encryption_wiring.py (full ORM roundtrip)
